Entity,Day,Stringency index (non-vaccinated),Stringency index (vaccinated),Stringency index (weighted average)
Chile,2020-07-01,79.17,79.17,79.17
Chile,2020-07-02,79.17,79.17,79.17
Chile,2020-07-03,90.28,90.28,90.28
Chile,2020-07-04,90.28,90.28,90.28
Chile,2020-07-05,90.28,90.28,90.28
Chile,2020-07-06,90.28,90.28,90.28
Chile,2020-07-07,90.28,90.28,90.28
Chile,2020-07-08,90.28,90.28,90.28
Chile,2020-07-09,90.28,90.28,90.28
Chile,2020-07-10,90.28,90.28,90.28
Chile,2020-07-11,90.28,90.28,90.28
Chile,2020-07-12,90.28,90.28,90.28
Chile,2020-07-13,90.28,90.28,90.28
Chile,2020-07-14,90.28,90.28,90.28
Chile,2020-07-15,90.28,90.28,90.28
Chile,2020-07-16,90.28,90.28,90.28
Chile,2020-07-17,90.28,90.28,90.28
Chile,2020-07-18,90.28,90.28,90.28
Chile,2020-07-19,90.28,90.28,90.28
Chile,2020-07-20,90.28,90.28,90.28
Chile,2020-07-21,90.28,90.28,90.28
Chile,2020-07-22,90.28,90.28,90.28
Chile,2020-07-23,90.28,90.28,90.28
Chile,2020-07-24,90.28,90.28,90.28
Chile,2020-07-25,90.28,90.28,90.28
Chile,2020-07-26,90.28,90.28,90.28
Chile,2020-07-27,90.28,90.28,90.28
Chile,2020-07-28,90.28,90.28,90.28
Chile,2020-07-29,90.28,90.28,90.28
Chile,2020-07-30,90.28,90.28,90.28
Chile,2020-07-31,90.28,90.28,90.28
Chile,2020-08-01,90.28,90.28,90.28
Chile,2020-08-02,90.28,90.28,90.28
Chile,2020-08-03,90.28,90.28,90.28
Chile,2020-08-04,90.28,90.28,90.28
Chile,2020-08-05,90.28,90.28,90.28
Chile,2020-08-06,90.28,90.28,90.28
Chile,2020-08-07,90.28,90.28,90.28
Chile,2020-08-08,90.28,90.28,90.28
Chile,2020-08-09,87.5,87.5,87.5
Chile,2020-08-10,87.5,87.5,87.5
Chile,2020-08-11,87.5,87.5,87.5
Chile,2020-08-12,87.5,87.5,87.5
Chile,2020-08-13,87.5,87.5,87.5
Chile,2020-08-14,87.5,87.5,87.5
Chile,2020-08-15,87.5,87.5,87.5
Chile,2020-08-16,87.5,87.5,87.5
Chile,2020-08-17,87.5,87.5,87.5
Chile,2020-08-18,87.5,87.5,87.5
Chile,2020-08-19,87.5,87.5,87.5
Chile,2020-08-20,87.5,87.5,87.5
Chile,2020-08-21,87.5,87.5,87.5
Chile,2020-08-22,87.5,87.5,87.5
Chile,2020-08-23,87.5,87.5,87.5
Chile,2020-08-24,87.5,87.5,87.5
Chile,2020-08-25,87.5,87.5,87.5
Chile,2020-08-26,87.5,87.5,87.5
Chile,2020-08-27,87.5,87.5,87.5
Chile,2020-08-28,87.5,87.5,87.5
Chile,2020-08-29,87.5,87.5,87.5
Chile,2020-08-30,87.5,87.5,87.5
Chile,2020-08-31,87.5,87.5,87.5
Chile,2020-09-01,87.5,87.5,87.5
Chile,2020-09-02,87.5,87.5,87.5
Chile,2020-09-03,87.5,87.5,87.5
Chile,2020-09-04,87.5,87.5,87.5
Chile,2020-09-05,87.5,87.5,87.5
Chile,2020-09-06,87.5,87.5,87.5
Chile,2020-09-07,87.5,87.5,87.5
Chile,2020-09-08,87.5,87.5,87.5
Chile,2020-09-09,87.5,87.5,87.5
Chile,2020-09-10,87.5,87.5,87.5
Chile,2020-09-11,87.5,87.5,87.5
Chile,2020-09-12,87.5,87.5,87.5
Chile,2020-09-13,87.5,87.5,87.5
Chile,2020-09-14,87.5,87.5,87.5
Chile,2020-09-15,87.5,87.5,87.5
Chile,2020-09-16,87.5,87.5,87.5
Chile,2020-09-17,87.5,87.5,87.5
Chile,2020-09-18,87.5,87.5,87.5
Chile,2020-09-19,87.5,87.5,87.5
Chile,2020-09-20,87.5,87.5,87.5
Chile,2020-09-21,87.5,87.5,87.5
Chile,2020-09-22,87.5,87.5,87.5
Chile,2020-09-23,87.5,87.5,87.5
Chile,2020-09-24,87.5,87.5,87.5
Chile,2020-09-25,87.5,87.5,87.5
Chile,2020-09-26,87.5,87.5,87.5
Chile,2020-09-27,87.5,87.5,87.5
Chile,2020-09-28,87.5,87.5,87.5
Chile,2020-09-29,87.5,87.5,87.5
Chile,2020-09-30,87.5,87.5,87.5
Chile,2020-10-01,87.5,87.5,87.5
Chile,2020-10-02,87.5,87.5,87.5
Chile,2020-10-03,87.5,87.5,87.5
Chile,2020-10-04,87.5,87.5,87.5
Chile,2020-10-05,87.5,87.5,87.5
Chile,2020-10-06,87.5,87.5,87.5
Chile,2020-10-07,87.5,87.5,87.5
Chile,2020-10-08,87.5,87.5,87.5
Chile,2020-10-09,87.5,87.5,87.5
Chile,2020-10-10,87.5,87.5,87.5
Chile,2020-10-11,87.5,87.5,87.5
Chile,2020-10-12,87.5,87.5,87.5
Chile,2020-10-13,87.5,87.5,87.5
Chile,2020-10-14,87.5,87.5,87.5
Chile,2020-10-15,87.5,87.5,87.5
Chile,2020-10-16,87.5,87.5,87.5
Chile,2020-10-17,87.5,87.5,87.5
Chile,2020-10-18,87.5,87.5,87.5
Chile,2020-10-19,87.5,87.5,87.5
Chile,2020-10-20,87.5,87.5,87.5
Chile,2020-10-21,87.5,87.5,87.5
Chile,2020-10-22,87.5,87.5,87.5
Chile,2020-10-23,87.5,87.5,87.5
Chile,2020-10-24,87.5,87.5,87.5
Chile,2020-10-25,87.5,87.5,87.5
Chile,2020-10-26,87.5,87.5,87.5
Chile,2020-10-27,87.5,87.5,87.5
Chile,2020-10-28,87.5,87.5,87.5
Chile,2020-10-29,87.5,87.5,87.5
Chile,2020-10-30,87.5,87.5,87.5
Chile,2020-10-31,87.5,87.5,87.5
Chile,2020-11-01,87.5,87.5,87.5
Chile,2020-11-02,87.5,87.5,87.5
Chile,2020-11-03,87.5,87.5,87.5
Chile,2020-11-04,81.94,81.94,81.94
Chile,2020-11-05,81.94,81.94,81.94
Chile,2020-11-06,81.94,81.94,81.94
Chile,2020-11-07,81.94,81.94,81.94
Chile,2020-11-08,81.94,81.94,81.94
Chile,2020-11-09,81.94,81.94,81.94
Chile,2020-11-10,81.94,81.94,81.94
Chile,2020-11-11,81.94,81.94,81.94
Chile,2020-11-12,81.94,81.94,81.94
Chile,2020-11-13,81.94,81.94,81.94
Chile,2020-11-14,81.94,81.94,81.94
Chile,2020-11-15,81.94,81.94,81.94
Chile,2020-11-16,81.94,81.94,81.94
Chile,2020-11-17,81.94,81.94,81.94
Chile,2020-11-18,81.94,81.94,81.94
Chile,2020-11-19,81.94,81.94,81.94
Chile,2020-11-20,81.94,81.94,81.94
Chile,2020-11-21,81.94,81.94,81.94
Chile,2020-11-22,81.94,81.94,81.94
Chile,2020-11-23,76.39,76.39,76.39
Chile,2020-11-24,76.39,76.39,76.39
Chile,2020-11-25,76.39,76.39,76.39
Chile,2020-11-26,76.39,76.39,76.39
Chile,2020-11-27,76.39,76.39,76.39
Chile,2020-11-28,76.39,76.39,76.39
Chile,2020-11-29,76.39,76.39,76.39
Chile,2020-11-30,76.39,76.39,76.39
Chile,2020-12-01,76.39,76.39,76.39
Chile,2020-12-02,76.39,76.39,76.39
Chile,2020-12-03,76.39,76.39,76.39
Chile,2020-12-04,76.39,76.39,76.39
Chile,2020-12-05,76.39,76.39,76.39
Chile,2020-12-06,76.39,76.39,76.39
Chile,2020-12-07,76.39,76.39,76.39
Chile,2020-12-08,73.61,73.61,73.61
Chile,2020-12-09,73.61,73.61,73.61
Chile,2020-12-10,73.61,73.61,73.61
Chile,2020-12-11,73.61,73.61,73.61
Chile,2020-12-12,73.61,73.61,73.61
Chile,2020-12-13,73.61,73.61,73.61
Chile,2020-12-14,73.61,73.61,73.61
Chile,2020-12-15,73.61,73.61,73.61
Chile,2020-12-16,73.61,73.61,73.61
Chile,2020-12-17,73.61,73.61,73.61
Chile,2020-12-18,73.61,73.61,73.61
Chile,2020-12-19,73.61,73.61,73.61
Chile,2020-12-20,73.61,73.61,73.61
Chile,2020-12-21,73.61,73.61,73.61
Chile,2020-12-22,79.17,79.17,79.17
Chile,2020-12-23,79.17,79.17,79.17
Chile,2020-12-24,79.17,79.17,79.17
Chile,2020-12-25,79.17,79.17,79.17
Chile,2020-12-26,79.17,79.17,79.17
Chile,2020-12-27,79.17,79.17,79.17
Chile,2020-12-28,79.17,79.17,79.17
Chile,2020-12-29,79.17,79.17,79.17
Chile,2020-12-30,79.17,79.17,79.17
Chile,2020-12-31,79.17,79.17,79.17