Entity,Code,Day,"Daily new estimated COVID-19 infections (ICL, Mean estimate)","Daily new estimated COVID-19 infections (IHME, Mean estimate)","Daily new estimated COVID-19 infections (LSHTM, Median estimate)","Daily new estimated COVID-19 infections (Youyang Gu, Mean estimate)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Chile,CHL,2020-06-26,,7447.24,13416.276,16811,4851.5713
Chile,CHL,2020-06-27,,7381.53,12637.1,16512,4566.7144
Chile,CHL,2020-06-28,,7309.95,12269.975,16217,4431.143
Chile,CHL,2020-06-29,,7210.07,11729.526,15928,4232.4287
Chile,CHL,2020-06-30,,7089.74,11536.457,15643,4148
Chile,CHL,2020-07-01,,6938.9,11598.562,15364,4089.4285
Chile,CHL,2020-07-02,,6767.57,12058.188,15090,3946.7144
Chile,CHL,2020-07-03,,6595.34,14222.267,14820,3639.5715
Chile,CHL,2020-07-04,,6429.78,28766.234,14555,3532.7144
Chile,CHL,2020-07-05,,6307.63,51651.246,14296,3440.1428
Chile,CHL,2020-07-06,,6242.84,40750.613,14040,3364.2856
Chile,CHL,2020-07-07,,6218.96,16597.3,13790,3222.5715
Chile,CHL,2020-07-08,,6230.16,10937.204,13544,3089.4285
Chile,CHL,2020-07-09,,6244.66,8946.692,13303,3005.7144
Chile,CHL,2020-07-10,,6227.92,8710.487,13066,3096.4285
Chile,CHL,2020-07-11,,6177.61,8414.961,12834,3026.4285
Chile,CHL,2020-07-12,,6088.09,8001.597,12607,2883.1428
Chile,CHL,2020-07-13,,5959.16,7730.8267,12385,2787
Chile,CHL,2020-07-14,,5804.89,7565.593,12167,2728.5715
Chile,CHL,2020-07-15,,5631.47,7314.3506,11954,2639.1428
Chile,CHL,2020-07-16,,5448.62,7171.5415,11746,2588.8572
Chile,CHL,2020-07-17,,5271.47,6914.8325,11543,2497.4285
Chile,CHL,2020-07-18,,5117.45,6825.8633,11346,2466.4285
Chile,CHL,2020-07-19,,5018.61,6648.1934,11155,2402.4285
Chile,CHL,2020-07-20,,5000.23,6292.8496,10969,2269.8572
Chile,CHL,2020-07-21,,5058.34,6135.619,10790,2196
Chile,CHL,2020-07-22,,5180.19,6171.8096,10618,2170
Chile,CHL,2020-07-23,,5350.04,6312.303,10453,2171
Chile,CHL,2020-07-24,,5543.72,6308.0337,10296,2151.5715
Chile,CHL,2020-07-25,,5734.29,6096.714,10148,2109.2856
Chile,CHL,2020-07-26,,5889.33,5949.4346,10009,2106.5715
Chile,CHL,2020-07-27,,5988.96,5900.34,9881,2122.8572
Chile,CHL,2020-07-28,,6033.53,5875.3413,9763,2127.7144
Chile,CHL,2020-07-29,,6044.64,5952.502,9656,2159.5715
Chile,CHL,2020-07-30,,6090.22,5971.833,9560,2167.5715
Chile,CHL,2020-07-31,,6227.25,5814.903,9476,2111
Chile,CHL,2020-08-01,,6454.97,5651.3213,9404,2051.8572
Chile,CHL,2020-08-02,,6767.84,5534.053,9344,2009.4286
Chile,CHL,2020-08-03,,7148.99,5484.7124,9296,1991.5714
Chile,CHL,2020-08-04,,7560.77,5338.885,9260,1938.5714
Chile,CHL,2020-08-05,,7946.33,5179.121,9235,1880.2858
Chile,CHL,2020-08-06,7729.53,8199.86,5177.652,9222,1878.2858
Chile,CHL,2020-08-07,7644.74,8250.95,5193.1216,9220,1876.4286
Chile,CHL,2020-08-08,7399.74,8111.45,5278.572,9229,1879.7142
Chile,CHL,2020-08-09,7112.38,7803.49,5549.741,9248,1909.2858
Chile,CHL,2020-08-10,6829.6,7374.47,5797.194,9276,1903.5714
Chile,CHL,2020-08-11,6565.18,6898.62,6449.2256,9313,1935.8572
Chile,CHL,2020-08-12,6319.78,6439.59,,9359,1950.5714
Chile,CHL,2020-08-13,6090.21,6065.67,,9413,1920.7142
Chile,CHL,2020-08-14,5873.11,5808.62,,9475,1909
Chile,CHL,2020-08-15,5665.98,5659.49,,9544,1898
Chile,CHL,2020-08-16,5467.22,5620.48,,9619,1839.8572
Chile,CHL,2020-08-17,5275.87,5666.37,,9702,1841.4286
Chile,CHL,2020-08-18,5091.39,5745.5,,9791,1779.7142
Chile,CHL,2020-08-19,4913.42,5831.4,,9886,1748.4286
Chile,CHL,2020-08-20,4741.71,5908.53,,9987,1695.5714
Chile,CHL,2020-08-21,4613.39,5974.09,,10094,1687.8572
Chile,CHL,2020-08-22,4529.23,6033.66,,10207,1665.4286
Chile,CHL,2020-08-23,4458.18,6075.34,,10326,1686.5714
Chile,CHL,2020-08-24,4388.49,6100.9,,10451,1674.1428
Chile,CHL,2020-08-25,4317.09,6129.64,,10580,1723.7142
Chile,CHL,2020-08-26,4244.16,6165.7,,10715,1732.8572
Chile,CHL,2020-08-27,4170.7,6194.72,,10855,1761.1428
Chile,CHL,2020-08-28,4097.58,6195.4,,11000,1750.4286
Chile,CHL,2020-08-29,4025.4,6173.98,,11148,1743.2858
Chile,CHL,2020-08-30,3954.46,6172.1,,11301,1757.2858
Chile,CHL,2020-08-31,3884.9,6218.1,,11456,1758.4286
Chile,CHL,2020-09-01,3816.78,6314.13,,11613,1736.8572
Chile,CHL,2020-09-02,3750.07,6442.04,,11772,1737.1428
Chile,CHL,2020-09-03,3684.77,6536.95,,11930,1767.7142
Chile,CHL,2020-09-04,3719.87,6543.03,,12087,1771.2858
Chile,CHL,2020-09-05,3860.58,6469.32,,12240,1785.2858
Chile,CHL,2020-09-06,4029.97,6344.01,,12390,1775
Chile,CHL,2020-09-07,4201.02,6200.13,,12534,1790.8572
Chile,CHL,2020-09-08,4368.45,6071.48,,12673,1792.5714
Chile,CHL,2020-09-09,4534.28,5978.61,,12805,1770.8572
Chile,CHL,2020-09-10,4701.8,5951.04,,12930,1755.4286
Chile,CHL,2020-09-11,4873.58,6003.85,,13048,1738.2858
Chile,CHL,2020-09-12,5051.26,6100.59,,13160,1723.7142
Chile,CHL,2020-09-13,5235.76,6175.81,,13264,1747.4286
Chile,CHL,2020-09-14,5427.62,6183.5,,13360,1748.2858
Chile,CHL,2020-09-15,5627.19,6106.4,,13450,1737
Chile,CHL,2020-09-16,5834.74,5935.81,,13532,1777.4286
Chile,CHL,2020-09-17,6050.51,5721.84,,13607,1751.4286
Chile,CHL,2020-09-18,6277.61,5540.93,,13675,1783
Chile,CHL,2020-09-19,6516.17,5404.35,,13737,1756
Chile,CHL,2020-09-20,6764.09,5309.56,,13793,1715.4286
Chile,CHL,2020-09-21,7020.88,5243.38,,13844,1646.5714
Chile,CHL,2020-09-22,7286.71,5173.74,,13888,1576.4286
Chile,CHL,2020-09-23,7561.97,5110.72,,13926,1505.7142
Chile,CHL,2020-09-24,7847.05,5064.12,,13958,1516.5714
Chile,CHL,2020-09-25,8142.34,5021.09,,13982,1497.7142
Chile,CHL,2020-09-26,8448.18,4988.96,,13999,1577.2858
Chile,CHL,2020-09-27,8764.89,4970.85,,14005,1615
Chile,CHL,2020-09-28,9092.79,4954.12,,14003,1661
Chile,CHL,2020-09-29,9432.17,4933.13,,13989,1743.2858
Chile,CHL,2020-09-30,9783.36,4907.37,,13964,1825.2858
Chile,CHL,2020-10-01,10146.63,4863.81,,13928,1869.7142
Chile,CHL,2020-10-02,10272.41,4791.13,,13880,1873.7142
Chile,CHL,2020-10-03,10133.26,4703.38,,13820,1817.4286
Chile,CHL,2020-10-04,9918.92,4615.06,,13748,1784.5714
Chile,CHL,2020-10-05,9703.43,4539.7,,,1754
Chile,CHL,2020-10-06,9507.41,4496.12,,,1725
Chile,CHL,2020-10-07,9331.04,4484.84,,,1715.1428
Chile,CHL,2020-10-08,9168.94,4499.94,,,1635.5714
Chile,CHL,2020-10-09,9015.95,4538.39,,,1609.4286
Chile,CHL,2020-10-10,8868.49,4582.44,,,1597
Chile,CHL,2020-10-11,8724.53,4610.18,,,1589.1428
Chile,CHL,2020-10-12,8583.05,4612.63,,,1598.8572
Chile,CHL,2020-10-13,8443.61,4590.29,,,1591.7142
Chile,CHL,2020-10-14,8306.08,4539.11,,,1567.7142
Chile,CHL,2020-10-15,8170.41,4455.15,,,1561.7142
Chile,CHL,2020-10-16,7951.17,4346.83,,,1497.1428
Chile,CHL,2020-10-17,7644.88,4228.14,,,1488.7142
Chile,CHL,2020-10-18,7321.48,4120.13,,,1486.8572
Chile,CHL,2020-10-19,7008.38,4043.07,,,1484.1428
Chile,CHL,2020-10-20,6713.28,4000.62,,,1488.1428
Chile,CHL,2020-10-21,6436.12,3987.77,,,1456.8572
Chile,CHL,2020-10-22,6174.64,3991.18,,,1466.4286
Chile,CHL,2020-10-23,5926.49,3991.04,,,1519.2858
Chile,CHL,2020-10-24,5689.89,3978.82,,,1530.8572
Chile,CHL,2020-10-25,5463.61,3951.08,,,1505.5714
Chile,CHL,2020-10-26,5246.83,3903.95,,,1471.8572
Chile,CHL,2020-10-27,5038.99,3841.39,,,1470.4286
Chile,CHL,2020-10-28,4839.64,3778.09,,,1435.2858
Chile,CHL,2020-10-29,4648.42,3733.26,,,1413.2858
Chile,CHL,2020-10-30,4619.85,3714.17,,,1417
Chile,CHL,2020-10-31,4757.1,3716.39,,,1380.7142
Chile,CHL,2020-11-01,4935.57,3736.02,,,1387.7142
Chile,CHL,2020-11-02,5111.18,3765.58,,,1400.1428
Chile,CHL,2020-11-03,5274.89,3791.51,,,1370
Chile,CHL,2020-11-04,5429.58,3806.55,,,1382.4286
Chile,CHL,2020-11-05,5580.3,3805.15,,,1358.8572
Chile,CHL,2020-11-06,5730.98,3785.05,,,1361.7142
Chile,CHL,2020-11-07,5884.05,3753.93,,,1402.7142
Chile,CHL,2020-11-08,6040.77,3707.63,,,1388.7142
Chile,CHL,2020-11-09,6201.74,3640,,,1384.8572
Chile,CHL,2020-11-10,6367.2,3567.54,,,1384.4286
Chile,CHL,2020-11-11,6537.29,3500.41,,,1386.4286
Chile,CHL,2020-11-12,6712.07,3434.59,,,1394.5714
Chile,CHL,2020-11-13,6845.6,3381.93,,,1408
Chile,CHL,2020-11-14,6933.48,3350.47,,,1377.1428
Chile,CHL,2020-11-15,7010.11,3335.93,,,1385.5714
Chile,CHL,2020-11-16,7088.32,3346.95,,,1387.8572
Chile,CHL,2020-11-17,7171.26,3379.68,,,1389.2858
Chile,CHL,2020-11-18,7258.55,3414.04,,,1386.1428
Chile,CHL,2020-11-19,7349.04,3450.45,,,1393.4286
Chile,CHL,2020-11-20,7441.73,3493.06,,,1367.7142
Chile,CHL,2020-11-21,7535.99,3539.06,,,1365
Chile,CHL,2020-11-22,7631.47,3593.65,,,1352.4286
Chile,CHL,2020-11-23,7728.01,3650.9,,,1338.1428
Chile,CHL,2020-11-24,7825.56,3697.02,,,1353.7142
Chile,CHL,2020-11-25,7924.1,3729.51,,,1353.8572
Chile,CHL,2020-11-26,8023.63,3755.38,,,1362
Chile,CHL,2020-11-27,8175.36,3781.05,,,1378.5714
Chile,CHL,2020-11-28,8383.63,3811.38,,,1376.8572
Chile,CHL,2020-11-29,8609.63,3863.84,,,1399.7142
Chile,CHL,2020-11-30,8839.26,3954.76,,,1398.5714
Chile,CHL,2020-12-01,9069.37,4089.26,,,1380.4286
Chile,CHL,2020-12-02,9300.66,4280.66,,,1396.7142
Chile,CHL,2020-12-03,9534.61,4525.21,,,1400.8572
Chile,CHL,2020-12-04,9772.39,4796.33,,,1392
Chile,CHL,2020-12-05,10014.77,5077.57,,,1416
Chile,CHL,2020-12-06,10262.16,5338.27,,,1389.5714
Chile,CHL,2020-12-07,10514.74,5560.47,,,1421.7142
Chile,CHL,2020-12-08,10772.61,5767.17,,,1485.5714
Chile,CHL,2020-12-09,11035.8,5945.16,,,1524.2858
Chile,CHL,2020-12-10,11304.31,6055.95,,,1554.2858
Chile,CHL,2020-12-11,11520.82,6088.92,,,1576.2858
Chile,CHL,2020-12-12,11680.39,6043.38,,,1548.4286
Chile,CHL,2020-12-13,11825.83,5954.87,,,1587.5714
Chile,CHL,2020-12-14,11973.04,5864.23,,,1648.1428
Chile,CHL,2020-12-15,12125.79,5767.78,,,1669.7142
Chile,CHL,2020-12-16,12283.54,5945.3,,,1685
Chile,CHL,2020-12-17,12444.76,5473.54,,,1707.5714
Chile,CHL,2020-12-18,12608.14,5463.73,,,1756
Chile,CHL,2020-12-19,12772.83,5480.22,,,1880.1428
Chile,CHL,2020-12-20,12938.32,5525.99,,,1939
Chile,CHL,2020-12-21,13104.37,5582.15,,,1946.5714
Chile,CHL,2020-12-22,13270.83,5642.62,,,1951.1428
Chile,CHL,2020-12-23,13437.61,5735.27,,,1980
Chile,CHL,2020-12-24,13604.65,5897.64,,,2026.1428
Chile,CHL,2020-12-25,13923.43,6154.37,,,2082.5715
Chile,CHL,2020-12-26,14405.41,6485.25,,,2099.4285
Chile,CHL,2020-12-27,14937.12,6820.03,,,2148.5715
Chile,CHL,2020-12-28,15477.92,7095.36,,,2080
Chile,CHL,2020-12-29,16019.16,7288.06,,,2077.1428
Chile,CHL,2020-12-30,16563.16,7393.26,,,2113.8572
Chile,CHL,2020-12-31,17114.26,7423.29,,,2148
Chile,CHL,2021-01-01,17675.86,7408.78,,,2237.5715
Chile,CHL,2021-01-02,18249.99,7388.93,,,2390.4285
Chile,CHL,2021-01-03,18837.62,7402.72,,,2501.1428
Chile,CHL,2021-01-04,19439.11,7464.07,,,2583.7144
Chile,CHL,2021-01-05,20054.47,7566.99,,,2659
Chile,CHL,2021-01-06,20683.6,7709.23,,,2730.7144
Chile,CHL,2021-01-07,21326.25,7874.02,,,2790.4285
Chile,CHL,2021-01-08,21648.07,8035.8,,,2886.1428
Chile,CHL,2021-01-09,21616.34,8182.54,,,2973.8572
Chile,CHL,2021-01-10,21483.18,8304.99,,,3120
Chile,CHL,2021-01-11,21344.85,8405.26,,,3390.2856
Chile,CHL,2021-01-12,21226.64,8493.74,,,3607.2856
Chile,CHL,2021-01-13,21127.35,8563.84,,,3719.1428
Chile,CHL,2021-01-14,21039.24,8588.3,,,3863.1428
Chile,CHL,2021-01-15,20955.29,8549.32,,,3933.7144
Chile,CHL,2021-01-16,20870.88,8454.64,,,3971.2856
Chile,CHL,2021-01-17,20783.49,8310.62,,,3964.4285
Chile,CHL,2021-01-18,20691.97,8125.39,,,3987
Chile,CHL,2021-01-19,20595.94,7915.53,,,3979.7144
Chile,CHL,2021-01-20,20495.33,7692.6,,,4002.2856
Chile,CHL,2021-01-21,20390.22,7481.92,,,4030.7144
Chile,CHL,2021-01-22,20255.83,7303.34,,,4056.4285
Chile,CHL,2021-01-23,20091.65,7152.99,,,4126.5713
Chile,CHL,2021-01-24,19917.11,7044.56,,,4164.857
Chile,CHL,2021-01-25,19739.62,6986.66,,,4182.5713
Chile,CHL,2021-01-26,19561.21,6966.17,,,4204
Chile,CHL,2021-01-27,19381.88,6983.45,,,4192.7144
Chile,CHL,2021-01-28,19201.16,7034.15,,,4164
Chile,CHL,2021-01-29,19018.64,7099.82,,,4148
Chile,CHL,2021-01-30,18834.12,7160.26,,,4097.5713
Chile,CHL,2021-01-31,18647.58,7187.26,,,4036.1428
Chile,CHL,2021-02-01,18459.09,7166.4,,,3999.8572
Chile,CHL,2021-02-02,18268.81,7110.06,,,3958.5715
Chile,CHL,2021-02-03,18076.9,7037.41,,,3933.5715